TerritoryID,Name,CountryRegionCode,Group,SalesYTD,SalesLastYear,CostYTD,CostLastYear
1,Northwest,US,North America,7887186.7882,3298694.4938,0.0,0.0
2,Northeast,US,North America,2402176.8476,3607148.9371,0.0,0.0
3,Central,US,North America,3072175.118,3205014.0767,0.0,0.0
4,Southwest,US,North America,10510853.8739,5366575.7098,0.0,0.0
5,Southeast,US,North America,2538667.2515,3925071.4318,0.0,0.0
6,Canada,CA,North America,6771829.1376,5693988.86,0.0,0.0
7,France,FR,Europe,4772398.3078,2396539.7601,0.0,0.0
8,Germany,DE,Europe,3805202.3478,1307949.7917,0.0,0.0
9,Australia,AU,Pacific,5977814.9154,2278548.9776,0.0,0.0
10,United Kingdom,GB,Europe,5012905.3656,1635823.3967,0.0,0.0
